Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
12/12/1965,19:40,"Cam Ranh, South Vietnam",11.9088,109.1479,Air Taxi,,,Cessna 120,N89805C,,2,2,0,Airframe failure after flying into adverse weather. VFR flight into adverse weather conditions.
12/16/1965,17:22,"Constanta, Romania",44.1773,28.6529,Air Manila,101,Manila - Legazpi,Douglas DC-3A,PI-C856,18,21,2,0,
1/1/1966,,"Pakse, Laos",15.1167,105.7833,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,,,Douglas DC-3 / Douglas DC-3,PK-GDU/PK-GDE,13463 / 19719,34,34,0,Midair collision between two Garuda aircraft. Both crashed into a swamp while approaching Palembang. Seventeen died on each aircraft.
1/15/1966,20:55,"Berryville, Virginia",39.1526,-77.9819,AVIANCA,4,Bogata - Crespo,Douglas DC-6-54B,HK-730,18325,64,56,0,Crashed shortly after taking off. The plane rose less than 100 ft. and then crashed into shallow water.  Possible engine failure. Maintenance error and inadequate inspections.
1/22/1966,,"Maskeliya, Sri Lanka",6.8333,80.5667,COHATA,,,Douglas DC-3,N4662,,35,30,0,Crashed 5 minutes after taking off from Las Cayee.
1/24/1966,8:02,"Old Harbors, Alaska",57.1982,-153.3059,Air India,101,Bombay - Beirut  - Geneva - Paris - London -New York,Boeing B-707-437,VT-DMN,18055/200,117,117,0,"The aircraft was told to hold at 1,000 ft. above the clouds  before landing at Geneva  but descended below the minimum safe altitude and crashed into Mont Blanc. With a malfunctioning No. 2 VOR the crew thought they had already passed Mt. Blanc. Miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. Hambi Bhabha, father of India's nuclear program killed. The aircraft was named Kanchenjunga."
1/28/1966,17:50,"Nha Trang, Vietnam",12.2467,109.1970,Lufthansa,5,Frankfurt - Bremen,Convair CV-440-0,D-ACAT,464,46,46,0,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.
2/4/1966,19:00,"Doncello, Colombia",45.6000,9.4500,All Nippon Airways,8302,Chitose - Tokyo,Boeing B-727-81,JA8302,18822/126,133,133,0,"The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2/7/1966,,"Sao Paulo, Brazil",-23.5487,-46.6383,Indian Airlines,,Srinngar - Jammu - Amritsar - Delhi,Fokker F-27 Friendship 200,PH-SAB,10271,37,37,0,"Crashed into high terrain, 12 miles west of its proper course, due to a navigation error. Abandonment of the ILS approach at too early a stage during an attempt to land under conditions of poor visibility in fog."
2/15/1966,,"Quilcene, Washington",47.8270,-122.8782,Indian Airlines,,Calcutta - Delhi,Sud Aviation SE-210 Caravelle VIN,VT-DPP,130,80,2,0,Undershot the runway and struck a concrete obstruction in poor weather conditions. Lack of information supplied to the pilot regarding the true conditions of surface visibility which was below the minimum prescribed for a night landing.  Lack of proper monitoring and possibly incorrect setting of altimeters during the approach to land. The use of landing lights which resulted in glare during the final stages of the approach in foggy conditions
2/18/1966,2:04,"Sardinata, Colombia",8.0833,-72.8000,Belgian International Air Services,,Brussels - Milan,Douglas DC-6B,OO-ABG,43829/351,4,4,0,The cargo plane struck trees to the right of the runway while attempting to land. Failure of the pilot to comply with the Company's minima. Subsequent belated decision to execute the missed approach procedure.
3/4/1966,20:15,"Lusaka, Zambia",-15.4167,28.2833,Canadian PacifiAir Lines,402,Hong Kong - Tokyo,McDonnell Douglas DC-8-43,CF-CPK,45761/237,72,64,0,The aircraft struck the approach lights and a sea wall during a landing attempt. The pilot initiated a steep rate of descent with the intention of executing a final approach at a lower altitude. Poor visibility due to illusive fog conditions misled the pilot and affected his judgement.
3/8/1966,8:04,"Jaen, Peru",-5.7083,-78.8083,Bassett Complany - Taxi,,,Piper PA-32,N3296W,,6,6,0,Crashed into a mountain slope after VFR flight into adverse weather conditions.
3/10/1966,17:14,"Bhojpur, Nepal",27.1667,87.0500,,,,Grumman G-21A,CF-MSK,B-32,7,6,0,"Undershot the runway on final approach in snow, after pilot misjudged altitude and clearance. VFR flight into adverse weather conditiions."
3/10/1966,,"Kranoyarsk, Russia",56.0101,92.8526,Trans Mediterranean Airways,,Beirut - Frankfurt,Douglas DC-6A,OD-AEL,45504/1009,5,5,0,Flew into Mt. Parnon.
3/18/1966,18:40,"La Paz, Bolivia",-16.5000,-68.1500,United Arab Airlines,749,Nicosia - Cairo,Antonov AN-24B,SU-AOA,57302009,30,30,0,Crashed into sand dunes. Improper approach during a sandstorm with turbulence and icing. Descent of the aircraft below the safe flight altitude in the final approach.
4/17/1966,,"Komatipoot, South Africa",-25.4363,31.9556,Continental Air Services,,,Douglas C-47A,N8744R,20156,2,2,0,The cargo plane crashed while on a Vietnam war mission.
4/22/1966,20:30,"Peshawar, Pakistan",34.0070,71.5331,American Flyers Airline,280D,Monterey - Ardmore,Lockheed 188C Electra,N183H,1136,98,83,0,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records."
4/27/1966,8:05,"Managua, Nicaragua",12.1393,-86.2610,LANSA,501,Lima - Cuzco,Lockheed 749A Constellation,OB-R-771,2521,49,49,0,"Crashed into 12,600 ft. Mt. Talsula. Pilot error. Incorrectly selected the route. Incorrectly calculated the climb performance of the aircraft in relation to its total weight of takeoff. Underestimated the elevation of peaks he had to clear along the route."
5/4/1966,8:00,"Zahedan, Iran",29.4960,60.8643,Military - U.S. Army,,,Boeing CH47A (helicopter),64-13138,,20,20,0,Engine failure caused the helicopter to crash shortly after taking off. Failure of the aircraft's No. 2 pinion drive shaft thrust bearing.
5/18/1966,,"Broennoysund, Norway",65.4639,12.1980,Military - U.S. Air Force,,,Boeing KC-135A,57-1444,17515/124,11,11,1,Unable to gain altitude as the plane took off it crashed
6/16/1966,8:48,"Quito, Ecuador",-0.2149,-78.5132,Zantop Air Transport,,"Detroit, MI - Kansas City, MO",Curtiss C-46A,N10415,,3,3,0,Collided with a Piper PA-23. Failure of both crews to maintain adequate lookout. One aboard the Piper killed.
6/27/1966,11:15,"Lagos, Nigeria",6.4511,3.3884,McCoy Flying Service - Taxi,,,Douglas DC-3,N17337,1962,12,2,0,The crew attempted a return to the airport after the No.2 engine failed on climb out. The pilot-in-command failed to maintain flying speed and the aircraft stalled and crashed. No.3 piston failed due to oil starvation resulting from inadequate maintenance and inspection. Improper in-flight decisions or planning. Poor crew coordination. Improper emergency procedures.
6/27/1966,6:00,"Miram, Pakistan",28.8500,67.8167,Lackey Aero Company - Taxi,,,Piper PA-23,N5775Y,,4,4,0,Crashed after rear engine mount failed leading to inflight failure.
6/29/1966,12:04,"Ahmedabad, India",23.0145,72.5918,Philippine Air Lines,785,Mamburao - San Jose,Douglas DC-3,PI-C17,20573,26,24,0,"Cashed in poor weather. Misjudgment of the terrain clearance, which resulted in the collision with trees in severe turbulence and strong gusty winds."
7/4/1966,15:59,"Rzeszow, Poland",50.0333,22.0000,Air New Zealand,,Training,Douglas DC-8-52,ZK-NZB,45751/231,5,2,0,"The incurrence of reverse thrust during simulated failure of no. 4 engine on takeoff. That condition arose when very rapid rearward movement of the power level generated an inertia force which caused the associated thrust brake lever to rise and enter the reverse idle detent. After lift-off, the minimum control speed essentially required to overcome the prevailing state of thrust imbalance was never attained and an uncontrollable roll, accompanied by some degree of yaw and sideslip in the same direction, ensued. When the condition of reverse thrust was recognized and eliminated, insufficient time and height were available to allow the aircraft to recover from its precarious attitude before it struck the ground."
7/24/1966,18:27,"Luxor, Egypt",25.6833,32.6500,Private - Mainline Aviation,-,,Beechcraft H50,N538B,,4,4,0,"The aircraft stalled during an emergency single engine approach. Both engines failed as the approach continued. The plane came to rest in a shallow pond on the golf course. Fuel starvation. Mismanagement of  fuel. Pro golfer Tony Lema and his wife, Betty, was killed. He was on a Buick promotional tour."
8/3/1966,,"Leonora, WA, Australia",-28.8800,121.3300,Lloyd Aéreo Boliviano,,Riberalta - Cochabamba,Curtiss C-46D,CP-730,33457,3,3,0,"The cargo  aircraft was not being flown at the recommended altitude when it reached mountains to be crossed, nor whas it at the proper crossing point. A secondary factor was the lack of navigational aids in the area."
8/6/1966,23:12,"La Paz, Bolivia",-16.5000,-68.1500,Braniff Airlines,250,"Kansas City, MO - Omaha",BAC One-Eleven 203AE,N1553,70,42,42,0,The aircraft broke up in flight due to turbulence after entering a squall line. Right tailplane and wing failed. Pilot operated aircraft in area of avoidable weather hazard.
8/11/1966,,"Abilene, Texas",32.4500,-99.7500,Tarom,,Brasov - Mamia,Ilyushin IL-14,YR-TAN,18428005,24,24,0,Crashed on a flight while en route.
8/15/1966,18:45,"QuebeCity, Quebec, Canada",46.8142,-71.2074,NC Simpson - Taxi,,,Beech C-18S,N445,,4,4,0,Fatigue fracture on right wing leading to inflight separation in flight.
8/16/1966,7:14,"Cucuta, Colombia",7.8942,-72.5039,Richland Aviation  - Taxi,,,Cessna 310C,N1836H,,6,6,0,Pilot obtained special VFR clearance. Took off in IFR weather. Encounter forcasted thunderstorms. Inflight break-up of aircraft after separation of elevator. Pilot exercised poor judgement in taking off in poor weather conditions.
8/17/1966,,"Cancun, Mexico",21.1734,-86.8281,Military - U.S. Marine Corps,,,Chance Vought F-8E,150321,,1,0,33,"Following engine failure, the jet fighter crashed into a village."
8/21/1966,10:35,"Paramaribo, Surinam",5.8667,-55.1667,Alaska Coastal Airlines,,,Grumman G-21 Goose,N88820,1114,9,9,0,Crashed into a glacial crevasse. Undetermined cause.
9/1/1966,0:47,"Tarma, Peru",-11.4165,-75.6856,Britannia Airways,105,Luton - Ljubljana,Bristol Britannia 102,G-ANBB,12903,117,98,0,The plane crashed into forest during a landing attempt at Ljubljana Airport. The crew's failure to follow proper landing procedures. Improperly set altimeter. Captain failed to adjust his altimeter (he remained on QNH instead of changing to QFE) and the crew failed to cross-check altimeters.
9/4/1966,,"Borana, Somalia",1.1133,44.0303,Indian Airlines,,Training,Sud Aviation SE-210 Caravelle,VT-DSB,134,4,4,0,Struck a hill while simulating an engine failure.
9/16/1966,8:25,"Jalalabad, Afghanistan",34.4404,70.4419,Iberia Airlines,,,Douglas DC-3,EC-AXC,19410,27,1,0,An overspeeding and failed attempt to feather the No. 1 engine necessitated ditching the plane. The plane sank after 5 minutes.  One passenger refused to leave the aircraft and drowned.
9/22/1966,13:03,"Chana, Angola",6.9247,100.7418,Ansett ANA,149,Mount Isa - Longreach,Vickers Viscount 832,VH-RMI,416,24,24,0,"About 150 miles from Longreach, fire was reported in No. 1 and 2 engines. While the plane was making an emergency descent, the left wing broke away due to weakening by the fire. After failure of the wing, the plane broke up in mid-air and crashed. Loosened bolts led to the loss of the oil lubricating unit causing the bearings to heat and catching the engines on fire. Subsequently, a locking mechanism was installed on the bolts to prevent any future accidents of this kind."
9/22/1966,3:15,"Shindand, Afghanistan",33.3071,62.1364,Avianca,,Bogota - Barranquilla,Douglas DC-4,HK-174,42929,2,2,0,"The cargo plane struck trees at the end of the runway after trying to make an emergency landing. Material failure consisting in fatigue failure of a number of teeth of the pinion of the governor control unit, which was jammed against the rack in the 'up' position and therefore set for maximum rpm, thus causing the engine to overspeed. This would be in keeping with the fact that the dome ring was at maximum low pitch setting, i.e. high rpm and a runway propeller on take-off."
10/1/1966,19:10,"Kaiserslautern, Germany",49.4447,7.7689,West Coast Airlines,956,Eugene - Portland,McDonnell Douglas DC-9-14,N9101,45794/52,18,18,0,"The plane crashed into Salmon Mountain while on approach to Portland. The pilots evidently had agreed to maintain 9,000 feet, but descended instead. The aircraft hit the mountain at the 3,830-foot level of a 4,090-foot ridge. The crew's descent  below its clearance limit and below that of surrounding obstructing terrain for reasons unknown. First crash of a DC-9."
10/4/1966,,"Point Alert, Ellesmere Island, NWT,Canada",82.4840,-62.3721,Military - U.S. Army,,,de Havilland Canada CV-2B Caribou,63-9751,209,32,14,0,While attempting a go-around the plane hit Hong Kong mountain.
10/8/1966,13:30,"Karakent, USSR",39.8489,47.0249,Petroleum Helicopter,,,Bell 204B helicopter,N1187W,2041,11,11,0,The helicopter crashed into the Gulf of Mexico after a tail rotor failure.  Fatigue fracture.
11/17/1975,,"Dingxi, China",35.5806,104.6263,Aeroflot,,,Antonov AN-24,CCCP-46467,27307905,38,38,0,Crashed into high ground while descending.
10/9/1966,20:20,"Garut, Jawa, Indonesia",-7.2484,107.9097,Warsaw Aviation - Taxi,,,Piper PA-32,N3279W,,6,6,0,Crashed after flying into adverse weather. VFR flight into adverse weather conditions. No night or instrument flight experience. Spatial disorientation.
11/11/1966,1:43,"Tver, Russia",56.8625,35.9242,Military - U.S. Air Force,-,Otis AFB,Lockheed EC-121H,55-5262,4413,19,19,0,"The aircraft was observed flying low and emitting smoke from one of its engines before crashing into the sea and exploding, 125 miles east of Nantucket."
11/20/1966,6:06,"Cuito, Angola",-12.3829,16.9416,Piedmont Airlines,,,Martin 404,N40406,14170,3,3,0,Crashed while on approach. Descent below obstructing terrain.
11/22/1966,12:20,"Van, Turkey",38.5035,43.3964,Aden Airways,,,Douglas DC-3,VR-AAN,4284,30,30,0,The aircraft crashed into the desert 20 minutes after taking off. The aircraft made contact with ATC during the climb but failed to make a scheduled report an hour later. Detonation of an explosive device placed in hand luggage in the cabin on the port side just above the wing.
11/24/1966,16:30,"Douala, Cameroon",4.0549,9.6987,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,101,Bratislava - Praha,Ilyushin IL-18B,LZ-BEN,184007101/356,82,82,0,"Following takeoff, the aircraft did not follow assigned route and crashed into wooded hillside. Insufficient evaluation of the weather conditions and relief of the terrain by the crew."
12/2/1966,,"Belle Anse, Haiti",18.2362,-72.0671,Aeroflot,,Moscow - Brazzaville,Tupolev TU-114B,CCCP-76457,1270805,21,21,0,Crashed into a snowbank on the takeoff roll in poor visibility.
12/18/1966,2:55,"Buga, Valle del Cauca, Colombia",3.9000,-76.3000,Aerocondor de Colombia,,Miami - Bogota,Lockheed L-1649A Starliner,N7301C,1002,59,17,0,Crash landed short of the runway on approach in fog. Pilot error. Presence of unauthorized person in the cockpit distracting the pilot. Lack of cockpit supervision. Poor weather.
12/24/1966,19:15,"Charkhidadri, India",28.5822,76.1828,Flying Tiger Line,,,Canadair CL-44D4-1,N228SW,31,4,4,107,The cargo plane undershot runway by 1 mile while making a radar approach in fog at night. Crashed into numerous thatched roof houses.
12/24/1966,9:56,"Quiberon, France",47.4838,-3.1190,AVIANCA,729,Bogota - Cali,Douglas C-47A-80-DL,HK-161,19630,29,29,0,"Crashed into the southern slopes of Tajumbina Peak at 11,600 ft. while approaching Cali. Lack of cockpit discipline. Consuming alcohol shortly before the flight. Not following the recommended route. Incorrectly reported positions. Continuing VFR in IFR conditions. Flying below minimum safe altitude for a VFR approach."
1/5/1967,6:55,"Ghorepani, Nepal",28.3986,83.6992,Red Bank Air Taxi,,,Beechcraft D18S,N2045D,,9,9,0,The left engine failed during take off. The aircraft was at its maximum gross weight and aft center of gravity limit. The pilot did not properly feather the prop. The plane stalled and crashed.
1/6/1967,16:25,"Khartoum, Sudan",15.5974,32.5347,Channel Air Lift,,,Curtiss C-46F,N30046,22417,3,3,0,Cargo shifted during takeoff. The plane tried to return for a landing but crashed. Improperly loaded aircraft.
1/17/1967,,"Kathmandu, Nepal",27.7120,85.3130,Military - Japan Maritime Self Defense Force,,,S2F-1 / HSS-2,,,10,10,0,Mid air collision. Both planes crashed into the sea.
1/17/1967,,"Tshikapa, Congo",-6.4167,20.8000,Air Taxi,,,Piper PA-23,N4129P,,3,3,0,"Disappeared while en route on a flight from San Juan, Puerto Rico to St. Thomas, Virgin Islands. Wreckage never recovered."
1/21/1967,4:15,"Roque Perez, Argentina",-35.4170,-59.3170,Air Ferry,,"Manchester, England - Frankfurt, Germany",Douglas C-54A,G-ASOG,10359,2,2,0,The cargo plane crashed short of the runway. The crew did not set the altimeters in the final approach according to the instructions in the operations manual. This error was aggravated by the fact that the final approach check list did not coincide with the altimeter setting procedure. In consequence the crew unintentionally flew below critical height and the aircraft collided with trees when the altimeters were showing approx. 200 ft. above the critical height.
2/6/1967,,"Sari, Iran",36.5633,53.0600,Syrian Arab Airlines,,,Douglas DC-3,YK-ACB,33559,19,1,0,Crashed into building while landing.
2/7/1967,0:02,"Irkutsk, Russia",52.2907,104.2786,Avanti Aviation -Air Taxi,,,Cessna 210-5A,N4855U,,2,2,0,"Pilot misjudged altitude and distance and crashed into a mountain at 8,800 ft. Pilot tested positive for alcohol."
2/7/1967,,"Medellin, Colombia",6.2308,-75.5906,Misrair,,,Antonov AN-24,,,30,30,0,Crashed after an explosion aboard the aircraft.
2/9/1967,5:15,"Solo, Indonesia",-7.5717,110.8227,Cubana de Aviacion,,Havana - Mexico City,Antonov AN-12,CU-T827,401504,10,10,0,Crashed due to bomb explosion.
2/15/1967,12:13,"Milford Sound, New Zealand",-44.6085,167.8477,Vercoa Air Service - Air Taxi,,,Cessna 182,N3796U,,2,2,0,Suffered complete engine failure and tried to return to the airport but crashed. Fuel contaminated with water.
2/16/1967,14:21,"Luena, Angola",-11.7836,19.9111,Garuda Indonesia Airlines,708,Jakarta - Menado via Surabaya,Lockheed L-188C Electra,PK-GLB,2021,63,22,0,"Crashed on approach, landing short of the runway, collapsing the landing gear. Awkward landing technique resulting in excessive rate of sink. Contributing factors include narrow runway, uneven runway necessitating landing as close to the threshold as possible and marginal weather conditions."
2/20/1967,8:45,"Ipiales, Colombia",0.8233,-77.6353,Sahsa Airlines,,San Pedro Sula - Tegucigalpa,Douglas DC-6,HR-SAG,42894/56,55,4,0,"While landing, the crew was unable to move the throttles into reverse position. The plane was not able to go-around and a ground loop was attempted. The aircraft ran off the runway into a ditch and the left wing tank ruptured and caught fire. Probable failure of the reverse pitch control mechanism."
2/28/1967,4:20,"Khorramabed, Iran",33.4841,48.3525,Philippine Air Lines,345,Manila - Mactan,Fokker F-27 Friendship 100,PI-C501,10147,20,12,0,Crashed after undershooting the runway. Loss of control at low altitude. Improper loading which placed the center of gravity in back of the center of gravity limits of the plane.
3/4/1967,2:56,"Ayan, Russia",56.4583,138.1681,Varig,837,Rome - Monrovia,McDonnell Douglas DC-8-33,PP-PEA,45253/5,90,51,5,Crashed on short of  the runway during approach. Crew error. The failure of the pilot to arrest the fast descent at a low altitude upon which he had erroneously decided after coming in too high.
3/5/1967,20:07,"Xichang, China",27.8944,102.2644,Lake Central Airlines,527,Colombus - Toledo,Convair CV-380,N73130,23,38,38,0,The aircraft crashed following the separation in flight of all four blades of the right propeller. No. 2 blade penetrated and destroyed the structural integrity of the fuselage. Malfunction of the hydraulipitch control mechanism. Uncontrollable overspeeding. Propeller separation in flight. Omission of the torque piston nitriding process during manufacture and failure of quality control to detect the omission.
3/8/1967,,"Natashquan, Quebec, Canada",50.1333,-61.8000,Compagnie Air Transport,,,AT L98 Carvair,F-BMHU,4,6,4,7,Failed to climb on takeoff and crashed into a bridge and some houses.
3/9/1967,11:54,"Niederanven, Luxembourg",49.6514,6.2560,Trans World Airlines / Private,553,Pittsburgh - Dayton,MD Douglas DC-9-15 / Beechcraft Baron-55,N1063T/N6127V,45777/80 / ,26,26,0,"Midair collision. Twenty five killed on the DC-9, one on the Beechcraft. Failure of the DC-9 crew to see and avoid the Beechcraft. The DC-9 was traveling at almost 300 mph at low altitude in airspace occupied by numerous small planes. The contributing factor to the accident was the excessive speed of the DC-9.  ATC systems inadequate to separate controlled and uncontrolled traffic. After this accident, the FAA imposed a maximum speed of 250 knots below 10,000 ft. mean sea level."
3/10/1967,5:03,"Yengema, Sierra Leone",8.4928,-10.3322,West Coast Airlines,720,,Fairchild F-27,N2712,73,4,4,0,The aircraft struck the northwestern slope of Stukel Mountain just after takeoff. Loss of control due to ice accretion on airframe surfaces. The pilot should have required that de-icing fluid be applied prior to takeoff.
3/11/1967,,"La Macarena, Colombia",2.1827,-73.7857,Aeralpi,,Venezia - Belluno,de Havilland Canada DHC-6 Twin Otter 100,I-CLAI,30,5,4,0,Flew into Colcanin Mountain in heavy fog while en route.
3/13/1967,17:10,"Jeddah, Saudi Arabia",21.5433,39.1728,South African Airways,406,Port Elizabeth - East London,Vickers Viscount 818,ZS-CVA,317,25,25,0,Crashed into the sea. Most probably the captain suffered a heart attack and the first officer could not regain control of aircraft.
3/27/1967,5:44,"Peshawar, Pakistan",34.0070,71.5331,Harold E. Bell - Air Taxi,,,Beechcraft 95-55,N1333Z,,2,2,0,Collided with trees in fog on final approach. Improper IFR operation.
3/30/1967,0:45,"Khartoum, Sudan",15.5974,32.5347,Delta Air Lines,9877,New Orleans AP - New Orleans AP,McDonnell Douglas DC-8-51,N802E,45409/19,6,6,13,Crashed into hotel during training flight. Improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain-trainee during a simulated two-engine out landing approach.
4/1/1967,15:50,"Pueblo, Colorado",38.2654,-104.6104,Ace Flying Service,,,Piper PA-30,N7979Y,,2,2,0,The aircraft struck a mountain. Continued VFR flight into adverse weather conditions.
4/3/1967,16:33,"Pucallpa, Peru",-8.3833,-74.5500,Lexington Air Taxi,-,,Beech C-45H,N3727G,,9,9,0,"A fire of undetermined origin occurred in the left engine nacelle during climb-out. Engine failure of undetermined origin. Inadequate preflight planning. Improperly loaded aircraft, weight and center of gravity."
4/11/1967,,"Port Harcourt, Nigeria",4.7715,7.0143,Air Algerie,,Algiers - Tamanrasset,Douglas DC-4,7T-VAU,3065,39,35,0,Crashed into a mountainside while descending to land at Tamanrasset. Cause unknown.
4/20/1967,1:13,"Pownal, Vermont",42.8000,-73.2167,Globe Air,,Bombay - Cairo,Bristol Britannia 175,HB-ITB,13232,130,126,0,The flight crashed while making a second landing attempt. Misjudgement by the pilot during approach. Both pilots exceeded their duty time by 3 hours at the time of the crash. The first officer had less than 50 hours flying time in a Britannia.
4/25/1967,19:05,"Piacenza, Italy",45.0478,9.7006,Military - U.S. Air Force,-,Otis AFB,EC-121H (Super Constellation),53-0549,4364,15,14,0,"Shortly after taking off from Otis AFB, the aircraft experienced a fire in the No. 3 engine and attempted to return to the air base, but crashed in a fireball one mile south of Nantucket."
4/27/1967,,"Donetsk, Ukraine",47.9813,37.7753,AVIANCA,,,Douglas DC-3,HK-326,4631,18,17,0,Crashed shortly after taking off.
4/27/1967,17:10,"Kandahar, Afghanistan",31.6167,65.7167,Pelita Air Service,,,Fokker F-27 Friendship 400,PK-PFB,10306,21,19,0,The plane crashed at the west end of of the runway on takeoff while on a demonstration flight. Overloaded.
4/28/1967,,"Sao Felix do Araguaia , Brazil",-11.6169,-50.6689,Military - U.S. Navy,,,Lockheed P-3A Orion,151365,185-5078,12,12,0,
5/1/1967,16:20,"Abuja, Nigeria",9.0667,7.4833,Greylock Airways / Private,,,de Havilland DH-104 / Piper PA-28,N80013 / N5836W,,14,3,0,The de Havilland and Piper collided while attempting to land at La Guardia Airport. The Piper did not reply to instructions from the tower and landed without clearance. Congested traffipattern. Inadequate spacing of traffiwere contributing factors. All three killed on the Piper.
5/4/1967,16:28,"Port Heiden, Alaska",56.9575,-158.6406,Greenbriar Airways,,,Cessna 205,N1301G,,4,4,0,Collided with trees in rain and fog while en route. Continued VFR flight into adverse weather conditions.
5/15/1967,,"Dizangue, Cameroon",3.7667,9.9833,Nordair,,,Curtiss C-46T,CF-NAD,30200,4,4,0,Crashed short of the runway in whiteout conditions. Improper  procedures by crew in whiteout weather conditions.
6/4/1967,10:09,"Milwaukee, Wisconson",43.0500,-87.9500,British Midland Airways,,Palma de Mallorca - Manchester,Canadair C-4 Argonaut,G-ALHG,153,84,72,0,"The aircraft crashed a during a landing attempt. Loss of power in both starboard engines resulting in control difficulties. Fuel starvation due to inadvertent fuel transfer. Inadvertent fuel transfer in flight on a scale sufficient to involve the risk, after a long flight, of emptying the tank expected to contain sufficient fuel can occur if the fuel selector levers in the cockpit of this type of aircraft are incorrectly positioned by even a small amount. This is easy to do and difficult for the pilot to recognize."
6/9/1967,,"Kamina, Congo",-8.7321,24.9938,Military - U.S. Air Force,,,Lockheed C-130B Hercules,58-0737,3534,10,10,0,Broke-up in mid air.
6/12/1967,17:58,"Shinile, Ethiopia",9.6670,41.8330,Aer Turas,,Glasgow - Dublin,Bristol 170 Freighter 31E,EI-APM,13076,2,2,0,"The pilot attempted an overshoot maneuver, following the stoppage of the port engine, at too low a speed (below the minimum control speed) resulting in an uncontrollable turn towards the Airport buildings."
6/12/1967,,"Ruidoso, New Mexico",33.3322,-105.6749,Aeronaves de Mexico,,La Paz - Mazatlan,Douglas DC-3A-197D,XA-FUW,3260,4,3,2,Crashed into a residential neighborhood while attempting to return to the airport following an engine failure.
6/15/1967,5:00,"Cubarral, Colombia",3.7919,-73.8413,Military - Brazilian Air Force,,Belem - Cachimbo,Douglas C-47,C-47-268,,25,20,0,The pilot became lost and ran out of fuel crashing into a swamp. Wreckage was found in the jungle 10 days later.
12/29/1967,,"Isparta, Turkey",37.7647,30.5567,Military - U.S. Air Force,,,Lockheed C-130E-I Hercules,64-0547,4040,11,11,0,Struck a mountain.
6/17/1967,19:30,"Rumbek, Sudan",6.8058,29.6761,Military - U.S. Air Force,,An Khe - Tan Son Nhut,Lockheed C-130B,60-0293,3591,56,35,0,The plane crashed after an aborted takeoff caused the plane to break apart and catch fire.
6/22/1967,,"Chelyabinsk, Russia",55.1547,61.3758,Aer Lingus,,Training,Vickers 803 Viscount,EI-AOF,176,3,3,0,An unintentional stall and incipient spin at a low altitude from which recovery was not possible.
6/23/1967,13:47,"Malakal, Sudan",9.5500,31.6500,Mohawk Airlines,40,Elmira - Washington DC,BAC One Eleven 204AF,N1116J,98,34,34,0,"The flight crashed after an in-flight fire destroyed the pitch control systems. Incorrect installation of a valve caused hot air to ignite hydraulifluid. The fire resulted from engine bleed air flowing back through the malfunctioning non-return valve and an open air delivery valve, through the auxiliary power unit in a reverse direction, and exiting into the plenum chamber at temperatures sufficiently high to cause the acoustics linings to ignite."
6/23/1967,9:00,"Khartoum, Sudan",15.5974,32.5347,Military - U.S. Marine Corps/Military - U.S. Marine Corps,,,Bell UH-1B / Sikorsky CH53A helicopters,638572/153305,,35,22,0,A mid-air collision occurred between the two aircraft as they attempted to land at the New River Marine Corps Air Facility located on the grounds of Camp Le Jeune.
6/30/1967,,"Junction City, California",40.7436,-123.0586,Thai International,601,Seoul - Hong Kong,Sud Aviation SE-210 Caravelle III,HS-TGI,025/24,80,24,0,Ditched into the sea while on approach during a typhoon. Crew did not follow proper approach procedures.  The captain did not monitor the approach properly and the co-pilot mishandled the aircraft after descending below minimum altitude.
7/19/1967,11:01,"Bukavu, Congo",-2.5000,28.8667,Piedmont Airlines / Private,22,Ashville - Roanoke,Boeing B-727-22 / Cessna 310,N68650/N3121S,18295/4 / ,82,82,0,"Midair collision. The B-727 was climbing away from Asheville Airport when it hit the Cessna, about 8 miles from the airport at 6,000 feet.  Seventy-nine on the B-727 and  3 on the Cessna killed. Deviation from IFR clearance by the Cessna pilot. Confusing transmission by the ATC. Lack of secondary surveillance radar. John T. McNaughton, Navy Secretary designate killed along with his wife and son."
